NAME,LEVEL,SECS,DIRECTION
Barangay 56,2.5430723654,195.93867753283433,S
Barangay 57,1.665891547,119.72491764060786,N
Barangay 59,1.882924474,157.46796266852917,S
Barangay 60-A,1.6324089361,14.71125209181778,S
Barangay 61,1.7296965512,41.91785273573006,S
Barangay 62-B,1.882924474,51.05669286615998,N
Barangay 62,2.5430723654,80.95261626447717,S
Barangay 73,6.3356090771,599.3640813501474,S
Barangay 74,0.41973268363,1182.7179405786865,N
Barangay  5-A,1.3880487969,224.2027342259361,N
Barangay  5,1.3880487969,138.03701086357958,N
Barangay  6,1.3538778583,59.23474432219611,N
Barangay  7,3.2716425839,116.32061541327015,S
Barangay  8-A,1.3538778583,148.12387269626672,N
Barangay  8,1.4074419855,221.1660160654983,N
Barangay 105,0.42321273152,3585.930500984339,S
Barangay 13,1.4509979975,289.9266276627775,N
Barangay 14,1.3538778583,163.2464532911978,N
Barangay 15,1.3345841156,117.0512276526476,N
Barangay 16,3.2716425839,246.02790663967806,S
Barangay 17,3.2716425839,160.05344387781625,S
Barangay 18,1.3122906477,127.8411536480705,N
Barangay 19,3.2716425839,112.05306164270719,N
Barangay 21-A,2.099216536,103.88590948621534,N
Barangay 21,2.690770393,144.16558083169807,S
Barangay 22,2.5898110671,143.82012300342495,N
Barangay 23-A,2.5898110671,50.187948477021116,S
Barangay 28,2.099216536,62.00943404437088,N
Barangay 36-A,6.0201605933,282.37560217564766,S
Barangay 36,6.0201605933,386.01452041879867,S
Barangay 40,1.3742627939,488.4557753970715,N
Barangay 41,2.5068081203,476.9271127114725,S
Barangay 42-A,2.5068081203,420.1825895238451,N
Barangay 42,2.5068081203,399.6867319045487,N
Barangay 43-A,2.5068081203,135.8307864369804,S
Barangay 43-B,2.5068081203,179.8617394452934,N
Barangay 43,2.5068081203,232.08149974675982,N
Barangay 44-A,2.5068081203,74.3230118084298,S
Barangay 47,1.4913427759,48.20467122243917,N
Barangay 48,1.4913427759,194.11417864711825,S
Barangay 91,5.7580903519,1220.6453162348726,S
Barangay 93,0.42204669858,3675.2482979455394,S
Barangay 94,0.41973268363,2157.201795112617,N
Barangay 97,0.42321273152,2803.2030813542456,S
Barangay 99,0.4203654504,2191.808340059432,S
Libertad,1.4509979975,94.94148128099134,N
Nula-tula,0.69977514045,1600.2064739323268,N
